,test_set,Recall,Precision,Model,Annotations,Iteration
0,seabirdwatch,0.36069978980643946,0.8187815406035356,Zero Shot,,
0,seabirdwatch,0.6662677740841317,0.8106767203838445,Fine Tune,124390.0,
0,seabirdwatch,0.6928321603391114,0.6785464874680093,Min Annotation,1000.0,0.0
0,seabirdwatch,0.688792844771291,0.678908942087147,Min Annotation,1000.0,1.0
0,seabirdwatch,0.6942280722485041,0.674046558032119,Min Annotation,1000.0,2.0
0,seabirdwatch,0.6254947378132615,0.7727176228452107,Min Annotation,5000.0,0.0
0,seabirdwatch,0.6206784043105323,0.7781951352982474,Min Annotation,5000.0,1.0
0,seabirdwatch,0.6194589360439899,0.7791870815143569,Min Annotation,5000.0,2.0
0,seabirdwatch,0.6641829071582118,0.8039502506008143,Min Annotation,10000.0,0.0
0,seabirdwatch,0.6659868514726511,0.7965649619331235,Min Annotation,10000.0,1.0
0,seabirdwatch,0.6757241655178657,0.8342084514170263,Min Annotation,10000.0,2.0
0,seabirdwatch,0.6769713100029262,0.8598952833996546,Min Annotation,20000.0,0.0
0,seabirdwatch,0.6822551446587244,0.8525764524577382,Min Annotation,20000.0,1.0
0,seabirdwatch,0.671373452885829,0.8467561385190558,Min Annotation,20000.0,2.0
0,seabirdwatch,0.0,0.0,RandomWeight,1000.0,0.0
0,seabirdwatch,0.0,0.0,RandomWeight,1000.0,1.0
0,seabirdwatch,0.0,0.0,RandomWeight,1000.0,2.0
0,seabirdwatch,0.0,0.0,RandomWeight,5000.0,0.0
0,seabirdwatch,0.14856701250496854,0.5999962084351743,RandomWeight,5000.0,1.0
0,seabirdwatch,0.5547433827780591,0.7979188392726889,RandomWeight,5000.0,2.0
0,seabirdwatch,0.5719712639604448,0.8100134683161718,RandomWeight,10000.0,0.0
0,seabirdwatch,0.5800783116704294,0.818261709027741,RandomWeight,10000.0,1.0
0,seabirdwatch,0.6163515911595036,0.8672966285233217,RandomWeight,10000.0,2.0
0,seabirdwatch,0.6738526785840657,0.8993700026333146,RandomWeight,20000.0,0.0
0,seabirdwatch,0.6699120909675412,0.8982088988480529,RandomWeight,20000.0,1.0
0,seabirdwatch,0.6746758608369292,0.8930929904478431,RandomWeight,20000.0,2.0
