,test_set,Recall,Precision,Model,Annotations,Iteration
0,monash,0.6743955827338441,0.38786602325907027,Zero Shot,,
0,monash,0.783954989750377,0.656267782604992,Fine Tune,,
0,monash,0.7621813464805777,0.666293461829176,Min Annotation,1000.0,0.0
0,monash,0.760932907029891,0.6495984504913077,Min Annotation,1000.0,1.0
0,monash,0.7515696111497412,0.6620275888133031,Min Annotation,1000.0,2.0
0,monash,0.7613033953365118,0.7203706097823744,Min Annotation,5000.0,0.0
0,monash,0.7613033953365118,0.7297069597069596,Min Annotation,5000.0,1.0
0,monash,0.7613033953365118,0.7251368239603534,Min Annotation,5000.0,2.0
0,monash,0.0,0.0,RandomWeight,1000.0,0.0
0,monash,0.0,0.0,RandomWeight,1000.0,1.0
0,monash,0.0,0.0,RandomWeight,1000.0,2.0
0,monash,0.4274316228485359,0.8139426957223567,RandomWeight,5000.0,0.0
0,monash,0.4821627318079122,0.723827425707125,RandomWeight,5000.0,1.0
0,monash,0.4664146320858326,0.6734714842399852,RandomWeight,5000.0,2.0
